COD_ART,DESCRIPCION,EAN13
RA1160,BRAZO Y FLOR DE DUCHA TERUEL,7798115116176
RA1168,BUJE AIREADOR COMPLETO MONOC MARBELLA,7798115117555
RA1179,BRAZO Y FLOR DE DUCHA LAGO,7798115116893
RA1180,BRAZO Y FLOR DE DUCHA SANTANDER,7798115116787
RA1222C,PICO LAVATORIO PARED FABRIC CROMO,7798115118262
RA1222G,PICO LAVATORIO PARED FABRIC GOLD,7798115115650
RA1222N,PICO LAVATORIO PARED FABRIC BLACK,7798115117852
RA1224,TRANSFERENCIA COMPLETA DUCHA EMB VERA,7798115116947
RA1229,SUJECION MONOCOMANDO COLORS,7798115117166
RA1380,CHAPA VISTA DUCHA EMB C/TRANSF. MONOC SORIA,7798115117197
RA846,PICO DUCHA RODA / MARBELLA / VALENCIA,7798115115803
RA846N,PICO DUCHA BLACK VELVET,7798115116381
RA878,VOLANTE COMPLETO MONOC MARBELLA,7798160580854
RA943,PICO REDONDO MONOCOMANDO MARBELLA,7798160583008
RA943-1,PICO CUADRADO MONOCOMANDO MARBELLA,7798160583015
RA962H,VOLANTE HOT VIGO,7798115117715
RA970,PICO LAVATORIO MALLORCA/VIGO,7798115117036
RA986,SOPORTE DUCHA EXTERIOR BILBAO,7798115117074
RA998,PICO LAVATORIO MARBELLA-VALENCIA-RODA-ADRA,7798115116404
RU1072G,DUCHITA BIDET FABRIC GOLD,7798115116305
RU1072N,DUCHITA BIDET FABRIC BLACK,7798115115810
RU455,CAMPANA ACERO ½ PICO LAVATORIO DE CAÑO,7798115116558
RU789,BASE MONOCOMANDO MARBELLA,7798115117876
RU942,BUJE SUJETA CAMPANA CASTILLA,7798115116749
RU989,VASO DE VIDRIO CUADRADO LINEA 13000,7798115113120
RA1055,VOLANTE MONOCOMANDO CUINA,7798115113212
RA1348NI,CAMPANA BEAT LAV / DUCHA NICKEL,7798115117586
RA1365NI,VOLANTE COMPLETO BEAT NICKEL,7798115117630
RA1424NI,CONJ. BRAZO Y FLOR DE DUCHA NICKEL BEAT,7798115118064
RA926,VOLANTE MONOCOMANDO BILBAO COMPLETO,7798160582629
RA868,CONJ. FIJACION MONOC. P/MSDA MARBELLA,7798160582872
RA1018,PICO DUCHA CASTILLA/SENA/LAGO,7798115116206
RA1204G,PICO DE DUCHA FABRIC GOLD,7798115116534
RA1308M,CONJ BRAZO Y FLOR DE DUCHA MONOC SORIA BLACK,7798115117173
85-201BV,DUCHA EMB C/TRANSF Y DUCHADOR C.CERAM BEAT ANTIQUE BRONZE,7798115113069
85-201NI,DUCHA EMB C/TRANSF Y DUCHADOR C.CERAM BEAT NICKEL,7798115113052
RA1235,PICO DUCHA/ LAV DE PARED LIVE CR,7798115117722
RA1235N,PICO BAÑERA/ LAV PARED LIVE BLACK,7798115116046
RA1314N,BRAZO Y FLOR DE DUCHA BLACK VELVET PLUS,7798115116763
18010BV,TOALLERO BARRAL LINEA BEAT ANTIQUE BRONZE,7798115114639
18020BV,TOALLERO DE ARO LINEA BEAT ANTIQUE BRONZE,7798115114646
18030BV,PERCHA LINEA BEAT ANTIQUE BRONZE,7798115114653
18040BV,PORTA ROLLO LINEA BEAT ANTIQUE BRONZE,7798115114660
18050BV,JABONERA LINEA BEAT ANTIQUE BRONZE,7798115114677
18060BV,PORTA VASO Y CEPILLO LINEA BEAT ANTIQUE,7798115114684
RA1030,PICO ROCIADOR P/ MONOC COCINA CUINA,7798077382886
RA1269,BRAZO Y FLOR DE DUCHA FABRIC CROMO,7798115116138
RA1269G,BRAZO Y FLOR DE DUCHA FABRIC GOLD,7798115116190
RA1269N,BRAZO Y FLOR DE DUCHA FABRIC BLACK,7798115117067
RA032,FLEXIBLE PARA CONEXION BIDE,7798115118248
RA088,PICO BAÑERA ARUBA/LORCA C/CAMPANA,7798115116343
RA101,PICO LAVATORIO LINEAS STD CROMO,7798160582728
RA1095N,PICO LAVATORIO EMBUTIR BLACK VELVET,7798115116794
RA1156,PICO DUCHA C/CAMPANA STD,7798115115681
RA1322,LATERAL LAV / BIDE C.CERAM DERECHO,7798115116961
RA1323,LATERAL LAV / BIDE C.CERAM IZQUIERDO,7798115116954
RA235,CONJ. FIJACION MONOC P/MESADA 2 ESPARRAGO,7798160582742
RA714B,VOLANTE LAZA BLANCO COMPLETO,7798077386358
RA723,LATERAL LAV /  BIDE STD COMPLETO,7798115117227
RA958,BRAZO Y FLOR DUCHA PLUS MALLORCA/VIGO 6',7798160583596
RA1203G,VOLANTE FABRIC GOLD,7798115115940
RA1203N,VOLANTE FABRIC BLACK,7798115113168
RA1247,CAMPANA CENTRAL BIDE PRADO/FABRIC CROMO,7798115117999
RA1260,CAMPANA LATERAL BIDE PRADO/FABRIC CROMO,7798115117982
RA1260G,CAMPANA LATERAL BIDE FABRIC GOLD,7798115116756
RA1268,CAMPANA LAVATORIO / DUCHA PRADO / FABRIC CROMO,7798115113175
RA1268G,CAMPANA LAVATORIO / DUCHA FABRIC GOLD,7798115116312
RA1268N,CAMPANA LAVATORIO / DUCHA FABRIC BLACK,7798115113182
RA1297,ASIENTO + O'RING P/CUADROS DE EMBUTIR,7798115116527
60-061B,LAVATORIO BL/CR C.STD PUEBLA,7798115112949
60-061N,LAVATORIO NG/CR C.STD PUEBLA,7798115112918
70-061B,BIDE BL/CR C.STD PUEBLA,7798115112956
70-061N,BIDE NG/CR C.STD PUEBLA,7798115112925
80-061B,DUCHA EMB C/TRANSF BL/CR PUEBLA,7798115112963
80-061N,DUCHA EMB C/TRANSF NG/CR PUEBLA,7798115112932
84-204,COLUMNA DE DUCHA P/ EXTERIOR LINEA GARDEN,7798160585637
RA1101,FLEXIBLE DUCHADOR CROMO CUINA x 60 cm,7798160585125
RA1054,CARTUCHO CERAMIMO Ø35 GRAN CAUDAL CORTO,7798160585187
60-201BV,LAVATORIO C.CERAM BEAT ANTIQUE BRONZE,7798115112987
60-201NI,LAVATORIO C.CERAM BEAT NICKEL,7798115112994
62-201BV,LAVATORIO DE PARED C.CERAM BEAT ANTIQUE BRONZE,7798115113083
62-201NI,LAVATORIO DE PARED C.CERAM BEAT NICKEL,7798115113076
70-201BV,BIDE C.CERAM BEAT ANTIQUE BRONZE,7798115113014
70-201NI,BIDE CR C.CERAM BEAT NICKEL,7798115113007
80-201BV,DUCHA EMB C/TRANSF C.CERAM BEAT ANTIQUE BRONZE,7798115113038
80-201NI,DUCHA EMB C/TRANSF C.CERAM BEAT NICKEL,7798115113021
80-353BV,DUCHA DE EMB 3 FUNCIONES BEAT ANTIQUE BRONZE,7798115112970
80-353NI,DUCHA DE EMB 3 FUNCIONES BEAT NICKEL,7798115113045
60-203,LAVATORIO MONOCOMANDO BAJO ADRA,7798077389717
61-203,LAVATORIO MONOCOMANDO ALTO ADRA,7798115112840
70-203,BIDE MONOCOMANDO ADRA,7798115112857
80-203,DUCHA EMB C/TRANSF. MONOCOMANDO ADRA,7798115112864
83-203,DUCHA EXT C/TRANSF. MONOCOMANDO ADRA,7798115112871
51-061,COCINA MESADA CR C.STD PUEBLA,7798115114776
U1058,PATA POSTIZA PARA MESADA,7798115114400
RS094,30 GUSANILLO M4x0.7x4,7798160585040
RS140,10 LLAVE ALLEN 2 MM,7798115115667
RA1024,TAPA TEMPORIZADOR LAVATORIO TECNO 03-010-3,7798077382848
RA1076,10 ORING P/MONOC COCINA RENACER,7798077382381
RA1077,CAMPANA COMPLETA CROMO Y,7798077389991
RA1109,(10) JUNTA P/MONOCOMANDO DIQUE,7798160584456
RA1205,10 BUJES INTERIOR NYLON,7798077388475
RA762,CAMPANA Y EXENTRICO P/DUCHA EXTERIOR METALICO (PAR),7798160582704
RA805,BOLSITA CON 10 TUERCAS DE 3/4 EN BRONCE LAV/BIDET,7798077387959
RA837,PICO FUNDIDO MESADA REDONDO C/AIREADOR CR,7798115117104
RA846M,PICO BAÑERA COMPLETO SORIA BLACK,7798115117449
RA967,CAMPANA VALENCIA - MALLORCA,7798160582827
RS002,AIREADOR PLASTICO REPUESTO,7798115116855
RA1088N,TRANSFERENCIA COMPLETA DUCHA EMB. SORIA BLACK,7798115116350
RA1152,10 ORING P/PICO FUNDIDO / PICO CAÑO,7798160584838
RA001,CABEZAL STD NO ASCENDENTE,7798077386204
RA002,CABEZAL DERECHO CIERRE CERAMICO (FRIA),7798077387393
RA003,CABEZAL IZQUIERDO CIERRE CERAMICO (CALIENTE),7798077387461
RA004,CABEZAL P/TRANSF. BIDET Y DUCHA EMBUTIR,7798077386198
RA006,CARTUCHO CERAMICO P/MONOCOMANDO Ø 40,7798077387539
RA007,CARTUCHO CERAMICO LARGO,7798077387522
RA012,"PICO ALTO P/JUEGO DE COCINA ""U""",7798077387911
RA014,PICO CAÑO J  P/MESADA,7798077387904
RA015R,CORTACHORRO PLASTICO P/GRIFERIA,7798077386297
RA017G,DUCHADOR CROMO,7798160583633
RA018G,FLEXIBLE DUCHA,7798160583619
RA023,SOPAPA LAVATORIO / BIDET CROMO,7798077388055
RA076,TRANSFERENCIA P/DUCHA EXTERIOR COMPLETA,7798077387515
RA1008,VOLANTE SANTANDER,7798077383654
RA1009,CAMPANA SANTANDER,7798115113229
RA1015,30 SEGURO PARA CABEZAL DE GRIFERIA,7798115117432
RA1016,CARTUCHO Ø35 MONOC BAÑO LUGO/COCINA,7798077382862
RA1050,VOLANTE MALLORCA STD.,7798160584760
RA1051,VOLANTE TRANSFERENCIA MALLORCA,7798115115698
RA1069,VOLANTE CASTILLA STD,7798115116213
RA1070,VOLANTE TRANSFERENCIA CASTILLA,7798115116183
RA1080,CAMPANA TOLEDO,7798115117579
RA1081,VOLANTE TOLEDO,7798115117661
RA1084,CAMPANA CASTILLA,7798115116220
RA1085,CARTUCHO MONOC LAVATORIO ALTO SORIA,7798115117920
RA1086,CARTUCHO MONOC LAVATORIO BAJO SORIA,7798115118194
RA1088,TRANSFERENCIA COMPLETA DUCHA EMB. SORIA,7798115117098
RA1110,AIREADOR P/MONOCOMANDO BETIS M16.5 x 1,7798160584814
RA1158,BUJE AIREADOR COMPLETO MONOC SANTANDER-MALLORCA,7798160585071
RA1167,"BUJE AIREADOR COMPLETO P/PICO CAÑO ""J"", ""U"" y ""S""",7798077384040
RA1169,CAMPANA BLACK VELVET,7798115113236
RA1176,VOLANTE STD SENA,7798115117685
RA1178,CAMPANA SENA,7798115117043
RA1189,SET PROLONGADOR P/VASTAGO Y CAMPANA (x3),7798077384057
RA1191,10 CONJ. PROLONGADOR CORTO (TORNILLO+TUBO) VOLANTE,7798115113205
RA5029C,VOLANTE COLD CROMO Y,7798077388468
RA5029H,VOLANTE HOT CROMO Y,7798115115643
RA5041,VOLANTE RENACER COMPLETO,7798077386457
RA5044C,VOLANTE BEDIA,7798115117159
RA704B,VOLANTE ARES BLANCO COMPLETO,7798077386402
RA704C,VOLANTE ARES / CELEBRITY CROMO,7798077386396
RA706C,VOLANTE MURCIA/KEOPS4 CROMO,7798077386433
RA714,VOLANTE LAZA CROMO COMPLETO,7798160584623
RA727C,CONJUNTO BUJE Y AIREADOR CROMO,7798077387867
RA737B,CONJ BRAZO Y FLOR DUCHA ABS BLANCO,7798115118255
RA737C,BRAZO Y FLOR DUCHA STD ABS CR,7798077386242
RA757,LLAVE TUBO 26 MM Y 32 MM,7798077388062
RA764,BOLSITA P/CONEXION BIDET LINEAS STD COMPLETO,7798160580991
RA765,BOLSITA P/CONEXION LAVATORIO LINEAS STD COMPLETO,7798160581004
RA766,BOLSITA P/CONEXION LAVATORIO BRONCE,7798160582773
RA767,BOLSITA P/CONEXION BIDE BRONCE,7798160582780
RA771C,CAMPANA C/BUJE LINEAS STD CROMO,7798077386877
RA773C,CAMPANA C/BUJE ARES/BEDIA/MURCIA,7798077386884
RA785L,VOLANTE  LORCA/MEDEA COMPLETO,7798077386365
RA799,BOLSITA CON 10 TUERCAS DE 1/2 EN POLIAMIDA P/MDA,7798077387935
RA801,BOLSITA CON 10 TUERCAS DE 1/2 EN BRONCE P/RAMAL,7798077387973
RA803,BOLSITA CON 10 TUERCAS DE 3/4 EN POLIAMIDA LAV/B,7798077387942
RA809,BOLSITA CON 10 TUERCAS DE 1/2 EN POLIAMIDA P/RAMAL,7798077387966
RA818,VOLANTE CR DIQUE,7798077388963
RA860,BRAZO Y FLOR DUCHA VALENCIA-MARBELLA,7798160580892
RA869,10 GOMAS CONICA P/ RAMAL DE LAVATORIO Y BIDET,7798160581066
RA871,10 TAPAS CHICAS CR P/VOLANTE,7798160580809
RA872,10 TAPAS VOLANTE LORCA-DIQUE-VERIN,7798160580830
RA873,10 TAPAS CR P/VOLANTE ARUBA-KEOPS 4-MURCIA,7798160580816
RA874,10 BUJES SUJETA CAMPANA DE BAÑO NEGRO,7798160581011
RA875,10 TUBOS CONEXION P/ BIDET,7798160581028
RA876,10 BUJES ESTRIADO P/VOLANTE,7798160581035
RA877,10 TORNILLOS P/VOLANTE GRIFERIA,7798160581059
RA881,CAMPANA MARBELLA,7798160580885
RA916,VOLANTE BASICA BLANCO,7798160585194
RA920,VOLANTE VALENCIA,7798115115674
RA920N,VOLANTE BLACK VELVET,7798115113243
RA945,VOLANTE STD MARBELLA,7798160582841
RA946,VOLANTE TRANSFERENCIA MARBELLA,7798160582858
RA968,BUJE C/AIREADOR PARA PICO LAV DE CAÑO,7798115118149
RA980,10 CONJ. PROLONGADOR LARGO (TORNILLO+TUBO) VOLANTE,7798160584791
RU650,CAMPANA CONICA P/JUEGOS EXT. Y MESADAS,7798160582698
RU878,JABONERA LINEA 3000 / 8000,7798160582926
RU879,VASO ESMERILADO LINEA 3000 / 8000,7798160582919
U1101,"NIPLE MACHO HEMBRA 1/2"" BSP",7798115114387
60-061,LAVATORIO CR C.STD PUEBLA,7798115112888
70-061,BIDE CR C.STD PUEBLA,7798115112895
80-061,DUCHA EMB C/TRANSF CR PUEBLA,7798115112901
G235N,CUERPO BUJE MONOCOMANDO BLACK,7798115114561
U930N,CHAPON LAVATORIO DE PARED MONOC BLACK,7798115114547
A1362N,ARO PARA CUERPO LAVATORIO DE PARED MONOC BLACK,7798115114530
A1363N,ARO PARA PICO LAVATORIO DE PARED MONOC,7798115114424
G237N,CUBRE TUERCA DE BRONCE MONOC COCINA BLACK,7798115114554
A1359,CUADRO LAVATORIO DE EMB C.CERAMICO ROJO,7798115114516
BCH11BM,BACHA DE APOYAR REDONDA BLANCO MATE 400x400x125,7798115113090
BCH11N,BACHA DE APOYAR REDONDA NEGRO MATE 400x400x125,7798115113106
A1294N,SUBC DUCHITA BIDE PLASTICA BLACK,7798115113946
A1295,BOLSA CONEXIÓN BIDE S/DUCHITA,7798115114578
A1299,BOLSA TRANSFERENCIA BIDE FABRIC PRADO,7798115113847
A1230,CAÑO BAJADA PICO BAÑERA C/PROLONGADOR PRADO,7798115114523
A113,CUERPO DUCHA EMBUTIR S/TRANSF C.STD,7798115113250
A1322,LATERAL C.CER.  DER,7798115113717
A1323,LATERAL C. CER. IZQUIERDO,7798115113700
A1325,TRANSFERENCIA DE BIDE C/BUJE Y NIPLE,7798115113304
A1326,SUBC LATERAL C. STD C/NIPLE Y BUJE,7798115113311
A1332,CUERPO DE BR DUCHA EMB C/TRANSF C.CERAM AZUL DER,7798115113694
A1360,CUADRO LAVATORIO EMB C CERAMICO AZUL,7798115113328
A1364,CUERPO DUCHA EMBUTIR S/TRANSF C.CERAMIC AZUL,7798115114035
A241,CUERPO COCINA DE EMBUTIR C. STD,7798115114028
A1404,CONEXIÓN BIDE LIVE,7798115113854
A1405,MANDO DUCHA DE EMB LIVE,7798115114394
A1414,MANDO LAVATORIO DE EMB LIVE,7798115113861
A072N,BOLSITA DUCHITA DE BIDE BLACK,7798115114332
A1296,TUERCA Y ARANDELA 1/2,7798115113878
90-198,PACK GRIF.PURA (Lavatorio-Bide-Ducha c/transf),7798077389687
U1109,CUERPO MESADA REDONDA PATAS POSTIZAS,7798115114233
18010,TOALLERO BARRAL NIQUEL LINEA BEAT,7798077389625
18020,TOALLERO DE ARO NIQUEL LINEA BEAT,7798077389632
18030,PERCHA NIQUEL LINEA BEAT,7798077389649
18040,PORTA ROLLO NIQUEL LINEA BEAT,7798077389656
18050,JABONERA NIQUEL LINEA BEAT,7798077389663
18060,PORTA VASO Y CEPILLO NIQUEL LINEA BEAT,7798077389670
U073B,VOLANTE PLASTICO LAZA BLANCO,7798115113410
U1119,CAPUCHON INDICADOR P/AMURADO CUADRO DUCHA EMB.,7798115114509
U948-1,"CAÑO BAJADA DUCHA DE EMB PLASTICO ER 1/2"" SR 1/2"" 3/4""",7798115113564
02-010N,VALVULA P/INODORO TEMPORIZADA TECNO BLACK,7798077389618
20-202NI,MONOCOMANDO COCINA NICKEL HOOP,7798115112703
60-200C,LAVATORIO MONOC BAJO CR FABRIC,7798115112727
60-200G,LAVATORIO MONOC BAJO GOLD FABRIC,7798115112734
60-200N,LAVATORIO MONOC BAJO BLACK FABRIC,7798115112741
61-200C,LAVATORIO MONOC ALTO CR FABRIC,7798115112758
61-200G,LAVATORIO MONOC ALTO GOLD FABRIC,7798115112765
61-200N,LAVATORIO MONOC ALTO FABRIC BLACK,7798115112772
70-200C,BIDE MONOCOMANDO CR FABRIC,7798115112789
70-200G,BIDE MONOCOMANDO GOLD FABRIC,7798115112796
70-200N,BIDE MONOCOMANDO BLACK FABRIC,7798115112802
80-200C,DUCHA EMB. MONOC. 3 FUNCIONES CR FABRIC,7798115112819
80-200G,DUCHA EMB. MONOC. 3 FUNCIONES GOLD FABRIC,7798115112826
80-200N,DUCHA EMB. MONOC. 3 FUNCIONES BLACK FABRIC,7798115112833
20-202N,MONOCOMANDO COCINA BLACK HOOP,7798115112710
20-100N,MONOCOMANDO DE COCINA FABRIC BLACK,7798115118385
80-166T,"DUCHA DE EMB. C/TRANSF. C.CERAM ADRA FLOR DE 8""",7798077389601
60-042P,LAVATORIO DIQUE GM PLUS,7798160585606
70-042P,BIDE DIQUE GM PLUS,7798160585613
80-042P,DUCHA EMB. C/TRANSF. DIQUE GM PLUS,7798160585620
BCH10,BACHA DE APOYAR NEGRO MATE 460x320x140,7798160585590
90-058,PACK GRIF.MALBA CR (Lavatorio-Bide-Ducha c/t),7798115112697
90-059,PACK GRIF.MALBA BL/CR (Lavatorio-Bide-Ducha c/t),7798115112680
20-122N,MONOCOMANDO COCINA C/PICO EXTRAIBLE VALENCIA BLACK,7798115112673
60-060,LAVATORIO C.STD MALBA BLACK,7798077389571
70-060,BIDE C.STD MALBA BLACK,7798077389588
80-060,DUCHA EMB. C/TRANSF. C.STD MALBA BLACK,7798077389595
A1286,CONEXIONES BIDE ABS COMPLETO,7798115113724
A1288,FASON PICO LUGO,7798115113663
A1289,CONEXIONES BRONCE P/ LAVATORIO / BIDE,7798115113922
A1290,CONEXIONES BRONCE P/ TRANS BIDE,7798115113618
A1291,CONEXION PICO LAV,7798115113960
A1292,FASON CAMPANA P/ MESADA X2,7798115113687
A1293,FASON CAMPANA P/ MESADA X1,7798115113885
A1294,DUCHITA BIDE C/ CONEX PLASTICAS,7798115113953
A1282,CABEZAL STD CON NIPLE,7798115113748
A1285,CONEXIONES LAVATORIO ABS COMPLETO,7798115113731
A1287,ALLEN 2 MM + BOLSA,7798115113632
84-190,DUCHA EXTERIOR CON COLUMNA BLACK VELVET,7798077389564
U1077,BUJE ROSCADO PROLONGADOR P/PICO BAÑERA PRADO,7798115114240
63-190,LAVATORIO MONOC. DE PARED BLACK VELVET,7798077389557
60-199,LAVATORIO CR C.CERAM LIVE,7798077388536
60-199B,LAVATORIO WHITE C.CERAM LIVE,7798077388574
60-199N,LAVATORIO BLACK C.CERAM LIVE,7798077389519
62-199,LAVATORIO DE PARED CR C.CERAM LIVE,7798077388567
62-199B,LAVATORIO DE PARED WHITE C.CERAM LIVE,7798077388581
62-199N,LAVATORIO DE PARED BLACK C.CERAM LIVE,7798077389540
70-199,BIDE CR C.CERAM LIVE,7798077388543
70-199B,BIDE WHITE C.CERAM LIVE,7798077389243
70-199N,BIDE BLACK C.CERAM LIVE,7798077389526
80-199,DUCHA EMB. C/TRANSF. CR C.CERAM LIVE,7798077388550
80-199B,DUCHA EMB. C/TRANSF. WHITE C.CERAM LIVE,7798077389502
80-199N,DUCHA EMB. C/TRANSF. BLACK C.CERAM LIVE,7798077389533
U100,"TUERCA 1/2"" P/FLEXIBLE GAS",7798115114172
U312,INSERTO MOVIMIENTO PICO FUNDIDO,7798115114431
U452,BUJE ROSCADO CONEX. TEE LAV BILBAO,7798115114592
U482,INSERTO MACHO MOVIMIENTO MONOC MARBELLA,7798115114448
U764,BASE ROSCADA MONOC BILBAO,7798115114066
U851,BUJE ROSCADO LAV / BIDE VIGO,7798115114288
U929,NIPLE UNION CPOS MONOC LAV EMB,7798115114455
U933,CONECTOR PARA MONOC DE EMBUTIR,7798115114301
M91-007,TUERCA SUJECION M35x1.5 MONOC BIDET,7798115114264
U973,BUJE REGULADOR CAMPANA TERUEL,7798115114271
U1053,ACOPLE PARA FLEXIBLES,7798115114295
U466,ENTREROSCA DUCHA EXT S/TRANSF,7798115114363
U763,ARO BASE MONOCOMANDO MALLORCA,7798115114103
U853,TUERCA C / ROSCA EXTERNA LAV / BIDE VIGO,7798115114318
A072,DUCHITA BIDE C/ CONEX BRONCE,7798115113939
A1060B,FLOR DUCHA STD BLANCA,7798115113601
A1060C,FLOR DUCHA STD CROMADA,7798115113595
U928,CUERPO CONEXION PICO LAV EMB MONOC,7798115114349
U927,CPO BASE LAV MONOC EMBUTIR MARBELLA BILBAO,7798115114325
U120C,CPO  P/FLOR DE DUCHA CROMO,7798115113441
U149C,CAÑO P/FLOR DE DUCHA PLASTICO CROMO,7798115113465
A1280,CUERPO DUCHA EMBUTIR S/TRANSF C. CERAMIC,7798115114042
16060BL,PORTA VASO Y CEPILLO SORIA BLACK,7798160585583
U590B,VOLANTE LINEA BASICA PLASTICO BLANCO,7798115113496
U750,CAMPANA GRIF CROMO Y,7798115113526
U073C,VOLANTE LAZA CROMO,7798115113427
F004,"RACORD MACHO 1/2"" P/FLEX AGUA",7798115114189
16010BL,TOALLERO BARRAL LINEA SORIA BLACK,7798160585330
80-194P,DUCHA EMB. C/TRANSF. CR C.CERAM LARA PLUS,7798160585293
40-024,JGO. P/LAVARROPA CR SEVILLA PLUS,7798160585316
83-024,DUCHA EXT. C/TRANSF. CR SEVILLA PLUS,7798160585309
U931,ARO P/CPO MONOC LAV EMB,7798115114158
U836,BASE CARTUCHO CER MONOC MALLORCA,7798115114356
90-166,PACK GRIF. ADRA PLUS (Lav-Bide-Ducha c/t Plus),7798115112642
63-192,LAVATORIO PARED EMBUTIR MONOCOMANDO SORIA BLACK,7798115112666
17006C,SET DE 6 PIEZAS LINEA FABRIC CROMO,7798160585378
17006G,SET DE 6 PIEZAS LINEA FABRIC GOLD,7798160585385
17006N,SET DE 6 PIEZAS LINEA FABRIC BLACK,7798160585392
17010C,TOALLERO BARRAL LINEA FABRIC CROMO,7798160585408
17010G,TOALLERO BARRAL LINEA FABRIC GOLD,7798160585415
17010N,TOALLERO BARRAL LINEA FABRIC BLACK,7798160585422
17020C,TOALLERO DE ARO LINEA FABRIC CROMO,7798160585439
17020G,TOALLERO DE ARO LINEA FABRIC GOLD,7798160585446
17020N,TOALLERO DE ARO LINEA FABRIC BLACK,7798160585453
17030C,PERCHA LINEA FABRIC CROMO,7798160585460
17030G,PERCHA LINEA FABRIC GOLD,7798160585477
17030N,PERCHA LINEA FABRIC BLACK,7798160585484
17040C,PORTA ROLLO LINEA FABRIC CROMO,7798160585491
17040G,PORTA ROLLO LINEA FABRIC GOLD,7798160585507
17040N,PORTA ROLLO LINEA FABRIC BLACK,7798160585514
17050C,JABONERA  LINEA FABRIC CROMO,7798160585521
17050G,JABONERA  LINEA FABRIC GOLD,7798160585538
17050N,JABONERA  LINEA FABRIC BLACK,7798160585545
17060C,PORTA VASO Y CEPILLO  LINEA FABRIC CROMO,7798160585552
17060G,PORTA VASO Y CEPILLO  LINEA FABRIC GOLD,7798160585569
17060N,PORTA VASO Y CEPILLO  LINEA FABRIC BLACK,7798160585576
63-152,LAVATORIO PARED EMBUTIR CR MONOC. SORIA,7798115112659
16006BL,SET 6 PIEZAS ACCESORIOS LINEA SORIA BLACK,7798160585323
16030BL,PERCHA LINEA SORIA BLACK,7798160585347
16040BL,PORTA ROLLO ACCESORIOS LINEA SORIA BLACK,7798160585354
16050BL,JABONERA ACCESORIOS LINEA SORIA BLACK,7798160585361
63-180,LAVATORIO MONOC. DE PARED VERA,7798160585286
80-198P,DUCHA DE EMBUTIR C/TRANSF PLUS PURA,7798115112635
S030,TAPON PARA CUERPO DESAGOTE,7798115113823
U692,VOLANTE PLASTICO VERIN,7798115113915
U840,CAMP COCINA EMB Y JUEGO LAVARROPAS,7798115113977
U593,CONECTOR MANGUERA LAVARROPA,7798115114141
G132,CAMPANA PARED P/CAÑO FLOR DE DUCHA,7798115113373
U093,TCA FLOR DUCHA PLAST,7798115113434
U149B,CAÑO P/FLOR DE DUCHA PLASTICO BLANCO,7798115113458
U692B,VOLANTE VERIN BLANCO,7798115113267
U802,ARANDELA 3mm P/CORTACHORRO,7798115114615
G130,PORTA SOPAPA P/CABEZAL DE TRANSF,7798115113366
U019,PORTA SOPAPA P/CABEZAL STD,7798115113380
U020,VASTAGO P/CABEZAL,7798115113397
U981,VASTAGO PARA CABEZAL TRANSF,7798115113571
U932,ARO CHICO P/MONOC LAVATORIO EMB.,7798115114165
U592,TUERCA CONECTOR MANGUERA JUEGO LAVARROPAS,7798115114134
60-198,LAVATORIO CR C.CERAM PURA,7798077388499
62-198,LAVATORIO DE PARED CR C.CERAM PURA,7798077388529
70-198,BIDE CR C.CERAM PURA,7798077388505
80-198,DUCHA EMB. C/TRANSF. CR C.CERAM PURA,7798077388512
G237,CUBRE TUERCA DE ABS MONOC COCINA CHROME,7798115113984
F002,"TUERCA FUNDIDA 1/2"" BSP",7798115113335
F010,"TUERCA FUNDIDA 3/4"" BSP",7798115114196
20-122,MONOCOMANDO COCINA CR C/PICO EXTRAIBLE VALENCIA,7798077388482
60-196,LAVATORIO CR C.CERAM LOOP,7798115112574
62-196,LAVATORIO DE PARED CR C.CERAM LOOP,7798115112628
70-196,BIDE CR C.CERAM LOOP,7798115112581
80-196,DUCHA EMB. C/TRANSF. CR C.CERAM LOOP,7798115112598
A1250,COLUMNA DE DUCHA CROMO,7798115112604
84-180,GRIFERIA DE PIE P/BAÑERA EXENTA VERA,7798115112611
U455-N,CAMPANA DE LATON PARA MESADA MINIMALISTA,7798115114585
20-135B,MONOCOMANDO COCINA MESADA SANTANDER WHITE,7798160585279
U944,CAMPANA GRIF TOLEDO,7798115114257
16010,TOALLERO BARRAL LINEA SORIA,7798077388451
U071,TUERCA P/ PICO FUND MESADA,7798115114004
U828,CPO INFERIOR MONOC MALLORCA,7798115114110
G235,BUJE MONOCOMANDO MALLORCA,7798115114080
U665,PICO DE BAÑERA CON TRANSFERENCIA,7798115113656
52-121N,GRIFERIA REBATIBLE LLENADO DE OLLAS MARBELLA BLACK,7798077388444
U068,DUCHITA DE BIDE PLASTICA,7798115114219
U778,CAMPANA VALENCIA,7798115113540
G061,CPO DUCHA EXTERIOR STD (AVION),7798115113342
G062,PICO LAVATORIO CUADRADO,7798115113359
U031,PICO FUNDIDO STD MESADA,7798115113403
U038,CUERPO CANILLA DE PARED,7798115114097
U063,CUERPO CANILLA DE MESADA,7798115114011
U090,CUERPO COCINA EXTERIOR REDONDO,7798115113908
U584,PICO LAV GRAN DE PEIRANO,7798115113489
U641,PICO FUNDIDO REDONDO MESADA,7798115113519
20-100G,MONOCOMANDO DE COCINA FABRIC GOLD,7798077388437
12003,SET DE 3 PIEZAS LINEA 12000,7798077387546
